"","V1","V2"
"1"," 1.69369999999999998"," 5.26804999999999968"
"2"," 1.88159999999999994"," 5.10245000000000015"
"3"," 1.17134999999999989"," 5.09870000000000001"
"4"," 2.33150000000000013"," 4.93890000000000029"
"5"," 1.09759999999999991"," 4.82045000000000012"
"6"," 2.10829999999999984"," 4.77040000000000042"
"7"," 1.69664999999999999"," 4.76769999999999960"
"8"," 3.04510000000000014"," 4.66739999999999977"
"9"," 1.13569999999999993"," 4.65380000000000038"
"10"," 3.42010000000000014"," 4.61594999999999978"
"11"," 3.15859999999999985"," 4.55745000000000022"
"12"," 2.67169999999999996"," 4.55259999999999998"
"13"," 1.66044999999999998"," 4.54514999999999958"
"14"," 3.27280000000000015"," 4.39189999999999969"
"15"," 4.09799999999999986"," 4.34665000000000035"
"16"," 2.71125000000000016"," 4.33054999999999968"
"17"," 1.28689999999999993"," 4.32085000000000008"
"18"," 4.17375000000000007"," 4.29209999999999958"
"19"," 2.29939999999999989"," 4.27144999999999975"
"20"," 1.96195000000000008"," 4.26900000000000013"
"21"," 3.31280000000000019"," 4.16995000000000005"
"22","-1.90019999999999989"," 4.15739999999999998"
"23","-2.12564999999999982"," 4.10334999999999983"
"24","-1.33790000000000009"," 4.09870000000000001"
"25","-1.22540000000000004"," 4.09820000000000029"
"26"," 0.95030000000000003"," 4.09719999999999995"
"27"," 3.53920000000000012"," 4.06135000000000002"
"28"," 2.67629999999999990"," 4.05224999999999991"
"29","-2.27610000000000001"," 4.04889999999999972"
"30"," 0.27515000000000001"," 4.04019999999999957"
"31"," 4.21525000000000016"," 4.01470000000000038"
"32"," 3.84005000000000019"," 4.00954999999999995"
"33"," 3.01454999999999984"," 3.99989999999999979"
"34","-2.20190000000000019"," 3.93710000000000004"
"35","-1.67645000000000000"," 3.93365000000000009"
"36"," 3.24089999999999989"," 3.89109999999999978"
"37","-2.12725000000000009"," 3.88094999999999990"
"38","-2.05220000000000002"," 3.88039999999999985"
"39","-1.97710000000000008"," 3.87990000000000013"
"40"," 3.42925000000000013"," 3.83765000000000001"
"41","-1.45185000000000008"," 3.82125000000000004"
"42"," 1.36420000000000008"," 3.82085000000000008"
"43","-0.55079999999999996"," 3.76259999999999994"
"44"," 4.74504999999999999"," 3.74474999999999980"
"45","-2.27870000000000017"," 3.71530000000000005"
"46","-2.05335000000000001"," 3.71364999999999990"
"47","-1.33969999999999989"," 3.70949999999999980"
"48","-1.30214999999999992"," 3.70935000000000015"
"49"," 4.03225000000000033"," 3.67850000000000010"
"50"," 3.58144999999999980"," 3.67269999999999985"
"51"," 3.05555000000000021"," 3.66674999999999995"
"52"," 2.79254999999999987"," 3.66414999999999980"
"53","-1.67805000000000004"," 3.65565000000000007"
"54"," 0.65120000000000000"," 3.65160000000000018"
"55"," 2.79309999999999992"," 3.60855000000000015"
